,camera_0,camera_1,camera_2,camera_3
0,1656236858901168309,1656236858901496950,1656236858902120212,1656236858902194554
1,1656236859003080013,1656236859001531948,1656236859002239351,1656236859002316846
2,1656236859101679171,1656236859101545697,1656236859102126000,1656236859102383679
3,1656236859201198021,1656236859201534325,1656236859202030762,1656236859202246534
4,1656236859301545072,1656236859301569226,1656236859302069194,1656236859302280886
5,1656236859401468647,1656236859401579071,1656236859401816797,1656236859402200736
6,1656236859501465569,1656236859502017158,1656236859501748056,1656236859502152716
7,1656236859601546783,1656236859601554758,1656236859601759415,1656236859602282368
8,1656236859701450228,1656236859701470327,1656236859702306477,1656236859702224843
9,1656236859801575413,1656236859801625426,1656236859802063297,1656236859801823302
10,1656236859901599792,1656236859901595909,1656236859902177156,1656236859902012477
11,1656236860002017695,1656236860001858692,1656236860002179074,1656236860002199988
12,1656236860101709866,1656236860101666032,1656236860102100605,1656236860102344105
13,1656236860201753094,1656236860201489565,1656236860202151197,1656236860202256467
14,1656236860301654459,1656236860301454032,1656236860301879663,1656236860302399496
15,1656236860401248002,1656236860401514790,1656236860402234814,1656236860402291505
16,1656236860501629647,1656236860501526523,1656236860502100022,1656236860502321952
17,1656236860601500994,1656236860601507694,1656236860601735812,1656236860602358576
18,1656236860701513405,1656236860701537732,1656236860702087281,1656236860702250841
19,1656236860801697280,1656236860801557689,1656236860802205333,1656236860802309674
20,1656236860901666969,1656236860901527532,1656236860902155505,1656236860902279126
21,1656236861001683924,1656236861001548513,1656236861001949990,1656236861001984470
22,1656236861101559976,1656236861101640601,1656236861102055145,1656236861101957539
23,1656236861201582691,1656236861201582891,1656236861202177100,1656236861202012851
24,1656236861301556828,1656236861301510780,1656236861302188907,1656236861302057539
25,1656236861401495155,1656236861401571635,1656236861402066436,1656236861402324126
26,1656236861501556657,1656236861501535365,1656236861501878714,1656236861502162308
27,1656236861601166136,1656236861601589372,1656236861602031039,1656236861602084495
28,1656236861701552133,1656236861701537742,1656236861702066878,1656236861702224419
29,1656236861801471131,1656236861801550979,1656236861801616648,1656236861802171439
30,1656236861901506487,1656236861901605433,1656236861901751501,1656236861902396456
31,1656236862002244693,1656236862001523946,1656236862001659527,1656236862002258159
32,1656236862101547853,1656236862101497021,1656236862101808268,1656236862102233628
33,1656236862201534695,1656236862201603254,1656236862201999218,1656236862202065954
34,1656236862301603524,1656236862301518918,1656236862302065651,1656236862302433730
35,1656236862401371595,1656236862401474649,1656236862402044561,1656236862403264055
36,1656236862501480669,1656236862501693814,1656236862502015438,1656236862502675401
37,1656236862601382501,1656236862601575941,1656236862602070510,1656236862602239490
38,1656236862701611390,1656236862701452820,1656236862701973448,1656236862702187662
39,1656236862801123155,1656236862801525932,1656236862802014120,1656236862802183931
40,1656236862901254982,1656236862901546177,1656236862902049672,1656236862902217931
41,1656236863001300725,1656236863001645561,1656236863001820860,1656236863002108628
42,1656236863101771417,1656236863101533545,1656236863101726102,1656236863102538135
43,1656236863201474647,1656236863201501499,1656236863201625967,1656236863202124305
44,1656236863301748978,1656236863301488879,1656236863301970525,1656236863302290471
45,1656236863401568470,1656236863401483683,1656236863402115874,1656236863401715897
46,1656236863501588643,1656236863501462294,1656236863501928984,1656236863501859310
47,1656236863601497068,1656236863601464875,1656236863602107198,1656236863601888253
48,1656236863701534778,1656236863701499776,1656236863702214849,1656236863702162008
49,1656236863801533895,1656236863801476084,1656236863802024662,1656236863802166631
50,1656236863901834755,1656236863901526666,1656236863902075191,1656236863902280954
51,1656236864001130157,1656236864001536319,1656236864002000658,1656236864003241110
52,1656236864101741976,1656236864101591125,1656236864102189432,1656236864102368506
53,1656236864201748677,1656236864201530183,1656236864201761155,1656236864202180031
54,1656236864301630668,1656236864301575677,1656236864302106993,1656236864302213455
55,1656236864401633177,1656236864401781690,1656236864401961257,1656236864402132729
56,1656236864501736267,1656236864501561829,1656236864501893124,1656236864502240684
57,1656236864601592561,1656236864601457620,1656236864601658711,1656236864601699424
58,1656236864701602942,1656236864701458985,1656236864702067528,1656236864702212391
59,1656236864801624172,1656236864801529792,1656236864801998115,1656236864802208757
60,1656236864901587543,1656236864901603831,1656236864902122503,1656236864902209891
61,1656236865001618149,1656236865001558410,1656236865002024097,1656236865002298261
62,1656236865101576720,1656236865101518236,1656236865102021759,1656236865102018217
63,1656236865201377779,1656236865201475278,1656236865202063807,1656236865202377755
64,1656236865301608971,1656236865302358632,1656236865301988410,1656236865302377563
65,1656236865401772768,1656236865401560699,1656236865401793039,1656236865401840961
66,1656236865501824335,1656236865501458698,1656236865502028879,1656236865502448287
67,1656236865601722999,1656236865601463327,1656236865602151385,1656236865602164305
68,1656236865701678274,1656236865701587672,1656236865702158333,1656236865702221236
